"Referencia";"Nombre jurídico";"Nombre";"CifNif";"Teléfono 1";"Teléfono 2";"Fax";"Email";"Dirección";"Localidad";"Provincia";"Código postal";"País";"Latitud";"Longitud";"Página web";"Familia";"Observaciones";"Forma de pago";"Vencimiento";"Día de pago";"Ajuste de pago";"Descuento";"Tarifa";"Agente";"Facturar a";"Moneda";"Impuesto primario";"Impuesto secundario";"Impuesto sobre el total";"Nombre cuenta bancaria";"Cuenta bancaria";"BIC/SWIFT";"Descripción cuenta bancaria"
"PROV00015";"Apple Distribution International Ltd.";"";"ESN0072469J";"";"";"";"";"Hollyhill Industrial Estate";"";"";"";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00014";"Media markt Saturn SA";"";"A82037292";"";"";"";"";"ED.PRIMA MUNTADAS C/ SOLSONÉS, 2, PUERTA C";"EL PRAT DE LLOBREGAT";"Barcelona";"08820";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00013";"TU-VALOR SLU";"";"B67909507";"";"";"";"";"C/ Las Fuentezuelas 1, primera planta, Oficina 4";"Sevilla";"Sevilla";"41020";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00012";"PC Componentes y Multimedia SLU";"";"B73347494";"";"";"";"";"Avda Europa, 2-3, Pol.Ind. Las Salinas";"Alhama de Murcia";"Murcia";"30840";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00011";"Deplatec - Agrupacion 4 cubos s.l";"";"B05303763";"";"";"";"";"";"";"";"";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00010";"Hellovan Solutions SL";"";"B21582143";"";"";"";"";"C/Astronomía Nº1, Parque Empresarial Torneo Torre 4, Planta 2ª, Mod. 7 y 8";"Sevilla";"Sevilla";"41015";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00009";"Secretlab NL B.V.";"";"NL859929656B01";"";"";"";"";"Siriusdreef 17";"Hoofddorp";"Hoofddorp";"2132HW";"NL";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00008";"Amazon EU S.à r.l., Sucursal en España";"";"LU20260743";"";"";"";"";"Calle de Ramírez de Prado 5";"Madrid";"Madrid";"28045";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00007";"TGSS";"";"";"";"";"";"";"";"";"";"";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00006";"Orange España Virtual S.L.U.";"";"B85057974";"";"";"";"";"Paseo del Club Deportivo, 1. Parque Empresarial la Finca. Edificio 8";"Pozuelo de Alarcón";"Madrid";"28223";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00005";"Google Cloud EMEA Limited";"";"IE3668997OH";"";"";"";"";"";"";"";"";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00004";"PLENERGY GRUPO, S.L.";"";"B93275394";"";"";"";"";"Edificio FITENI III, Calle Torrelaguna 64, 2 Planta";"Madrid";"Madrid";"28043";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00003";"EL BOTIJO AGUA DE ANDALUCIA, S.L.";"";"B-92541572";"";"";"";"";"POL.IND.AZUCARERA , S/ N - APTDO CORREOS 237";"Antequera";"Málaga";"29200";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00002";"Ayvens Spain Mobility Solutions, S.A.U.";"";"A80292667";"";"";"";"";"Ctra. de Pozuelo, 32";"Majadahonda";"Madrid";"28220";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
"PROV00001";"BB Phone Levante SLU";"";"B54812722";"";"";"";"";"C/ Lope de Vega 29, entresuelo";"Elche";"Alicante";"03201";"ES";"";"";"";"";"";"Transferencia bancaria";"";"-1";"No definido";"0.0";"";"";"";"EUR ? - Euro";"Sí";"No";"No";"";"";"";""
